SampleID,CoNS Staphylococcus spp.,OtherTaxa_NotStaph,Staphylococcus aureus,Staphylococcus caprae or S. capitis,Staphylococcus epidermidis,Staphylococcus haemolyticus,Staphylococcus hominis,Staphylococcus lugdunensis,Staphylococcus pasteuri,Staphylococcus pettenkoferi,Staphylococcus warneri
LK16S011-049,0,0.994797086,0,0,0.005202914,0,0,0,0,0,0
LK16S011-050,0,0.873100403,0,0.018573841,0.108325757,0,0,0,0,0,0
LK16S011-051,0.040880503,0.389937107,0,0,0.56918239,0,0,0,0,0,0
LK16S011-052,0,0.651162791,0,0,0.348837209,0,0,0,0,0,0
LK16S011-053,0,0.221656051,0,0,0.778343949,0,0,0,0,0,0
LK16S011-054,0,0.033010576,0,0,0.966989424,0,0,0,0,0,0
LK16S011-055,0.001878616,0.717330862,0,0.005109836,0.274428274,0,0,0,0,0,0.001252411
LK16S011-057,0,1,0,0,0,0,0,0,0,0,0
LK16S011-058,0,0.986539781,0,0.011316872,0.002143347,0,0,0,0,0,0
LK16S011-059,0,1,0,0,0,0,0,0,0,0,0
LK16S011-060,0,1,0,0,0,0,0,0,0,0,0
LK16S011-061,0,0.247855918,0,0,0.752144082,0,0,0,0,0,0
LK16S011-062,0,0.013993898,0,0,0.986006102,0,0,0,0,0,0
LK16S011-063,0.002521143,0.494900415,0,0.006532053,0.496046389,0,0,0,0,0,0
LK16S011-065,0,0.719433828,0,0,0.275820068,0,0.004746104,0,0,0,0
LK16S011-066,0,0.960064781,0,0.002014536,0.015207774,0,0.022041397,0,0,0,0.000671512
LK16S011-067,0.000430601,0.697095833,0,0,0.297162815,0,0.005310751,0,0,0,0
LK16S011-068,0,0.951060359,0,0,0.048939641,0,0,0,0,0,0
LK16S011-069,0,0.453563715,0,0,0.524118071,0,0.022318215,0,0,0,0
LK16S011-070,0,0.990789294,0,0,0.004194975,0,0.003055036,0.001960695,0,0,0
LK16S011-071,0,0.361477573,0,0,0.638522427,0,0,0,0,0,0
LK16S011-072,0,0.761904762,0,0.238095238,0,0,0,0,0,0,0
LK16S011-073,0,0.6,0,0,0.4,0,0,0,0,0,0
LK16S011-074,0,0.962142198,0,0,0,0,0.037857802,0,0,0,0
LK16S011-075,0,0.732193732,0,0,0.219373219,0,0,0,0,0,0.048433048
LK16S011-076,0,1,0,0,0,0,0,0,0,0,0
LK16S011-077,0,0.737113402,0,0,0.262886598,0,0,0,0,0,0
LK16S011-078,0.020100503,0.979899497,0,0,0,0,0,0,0,0,0
LK16S011-079,0,0.737762238,0,0,0.262237762,0,0,0,0,0,0
LK16S011-080,0,0.977366255,0,0,0.022633745,0,0,0,0,0,0
LK16S011-081,0,0.673295455,0.038352273,0,0.288352273,0,0,0,0,0,0
LK16S011-082,0,0.601486375,0,0.01849711,0.37192403,0,0.008092486,0,0,0,0
LK16S011-083,0,0.995200749,0,0,0.004799251,0,0,0,0,0,0
LK16S011-084,0,0.638333333,0,0,0.361666667,0,0,0,0,0,0
LK16S011-085,0,0.812182741,0,0,0.187817259,0,0,0,0,0,0
LK16S011-086,0,0.913407821,0,0,0.086592179,0,0,0,0,0,0
LK16S011-087,0,0.933638444,0,0,0.052631579,0,0.013729977,0,0,0,0
LK16S011-088,0,0.834920635,0,0,0.165079365,0,0,0,0,0,0
LK16S011-089,0,0.920863309,0,0,0.079136691,0,0,0,0,0,0
LK16S011-090,0,0.459005947,0,0.017841971,0.515080714,0,0,0,0,0.008071368,0
LK16S011-091,0,1,0,0,0,0,0,0,0,0,0
LK16S011-092,0,1,0,0,0,0,0,0,0,0,0
LK16S011-093,0,1,0,0,0,0,0,0,0,0,0
LK16S011-094,0.078947368,0.921052632,0,0,0,0,0,0,0,0,0
LK16S011-095,0,1,0,0,0,0,0,0,0,0,0
LK16S011-096,0,1,0,0,0,0,0,0,0,0,0
LK16S011-097,0,0.75,0,0,0.25,0,0,0,0,0,0
LK16S011-098,0.006287227,0.695979484,0,0,0.291363336,0,0.006369954,0,0,0,0
LK16S011-099,0.021978022,0.798534799,0,0.024594453,0.154892726,0,0,0,0,0,0
LK16S011-100,0,0.731840367,0,0.017513638,0.239161642,0,0.011484353,0,0,0,0
LK16S011-101,0,0.629300777,0,0,0.370699223,0,0,0,0,0,0
LK16S011-102,0,1,0,0,0,0,0,0,0,0,0
LK16S011-103,0,0.804235294,0,0,0.195764706,0,0,0,0,0,0
LK16S011-104,0.029948868,0.844046749,0,0.096055515,0.013148283,0.016800584,0,0,0,0,0
LK16S011-105,0.062947067,0.359084406,0,0,0.577968526,0,0,0,0,0,0
LK16S011-106,0,0.925840093,0,0,0.074159907,0,0,0,0,0,0
LK16S011-107,0,0.487895717,0,0.059590317,0.452513966,0,0,0,0,0,0
LK16S011-108,0,0.886925795,0,0,0.113074205,0,0,0,0,0,0
LK16S011-109,0,0.793650794,0,0,0.206349206,0,0,0,0,0,0
LK16S011-110,0,1,0,0,0,0,0,0,0,0,0
LK16S011-111,0,0.830142063,0,0,0.169857937,0,0,0,0,0,0
LK16S011-112,0,0.995768688,0,0,0,0,0.004231312,0,0,0,0
LK16S011-113,0,0.871921182,0,0,0.128078818,0,0,0,0,0,0
LK16S011-114,0,0.725352113,0,0,0.274647887,0,0,0,0,0,0
LK16S011-115,0,0.815705128,0,0,0.157051282,0,0,0,0,0,0.02724359
LK16S011-116,0,0.875894988,0,0,0.101431981,0,0.022673031,0,0,0,0
LK16S011-117,0,0.820326679,0,0,0.139745917,0,0.039927405,0,0,0,0
LK16S011-118,0,1,0,0,0,0,0,0,0,0,0
LK16S011-119,0.00385208,0.854391371,0,0,0.141756549,0,0,0,0,0,0
LK16S011-120,0,1,0,0,0,0,0,0,0,0,0
LK16S011-121,0,1,0,0,0,0,0,0,0,0,0
LK16S011-122,0,1,0,0,0,0,0,0,0,0,0
LK16S011-123,0,0.990243902,0,0,0.009756098,0,0,0,0,0,0
LK16S011-124,0,1,0,0,0,0,0,0,0,0,0
LK16S011-125,0,1,0,0,0,0,0,0,0,0,0
LK16S011-126,0,1,0,0,0,0,0,0,0,0,0
LK16S011-127,0,0.984423676,0,0,0.015576324,0,0,0,0,0,0
LK16S011-128,0,1,0,0,0,0,0,0,0,0,0
LK16S011-129,0,0.937675326,0,0.005793389,0.041895353,0,0.006708135,0,0,0,0.007927796
